DZ2021_code,DZ2021_name,SDZ2021_code,SDZ2021_name,DEA2014_code,DEA2014_name,LGD2014_code,LGD2014_name,COUNTY,PARLCON2024_code,PARLCON2024_name,PARLCON2008_code,PARLCON2008_name,LGD1992_code,LGD1992_name,HEALTH_TRUST,SETTLEMENT2015_code,SETTLEMENT2015_name,SETTLEMENT2015_Band
N20000001,Dunsilly_A1,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000002,Dunsilly_B1,N21000002,Dunsilly_B,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95WW,Newtownabbey,NHSCT,,,
N20000003,Dunsilly_A2,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000004,Dunsilly_A3,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000005,Dunsilly_B2,N21000002,Dunsilly_B,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000006,Dunsilly_A4,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000007,Dunsilly_C1,N21000003,Dunsilly_C,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000008,Dunsilly_A5,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000009,Dunsilly_A6,N21000001,Dunsilly_A,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000010,Dunsilly_B3,N21000002,Dunsilly_B,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000011,Dunsilly_D1,N21000004,Dunsilly_D,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000012,Dunsilly_D2,N21000004,Dunsilly_D,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000013,Dunsilly_F1,N21000006,Dunsilly_F,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000014,Dunsilly_D3,N21000004,Dunsilly_D,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000015,Dunsilly_C2,N21000003,Dunsilly_C,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,,,
N20000016,Dunsilly_E1,N21000005,Dunsilly_E,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000017,Dunsilly_E2,N21000005,Dunsilly_E,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000018,Dunsilly_E3,N21000005,Dunsilly_E,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000019,Dunsilly_D4,N21000004,Dunsilly_D,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000020,Dunsilly_D5,N21000004,Dunsilly_D,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
N20000021,Dunsilly_E4,N21000005,Dunsilly_E,N10000104,Dunsilly,N09000001,Antrim and Newtownabbey,Antrim,N05000014,South Antrim,N06000014,South Antrim,95AA,Antrim,NHSCT,N11000010,RANDALSTOWN,E
