Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
N20000001,738,0.63,0.18,0.12,0.08,0.02,-0.58,0.85,0.06,0.00,0.02,0.49,1.79,,2024 - 2050
N20000002,331,0.30,0.08,0.06,0.04,0.01,-0.27,0.23,0.02,0.00,0.01,0.23,0.79,,
N20000003,365,0.31,0.02,0.07,0.04,0.01,-0.28,0.30,0.03,0.00,0.01,0.24,0.74,,
N20000004,663,0.55,0.06,0.13,0.07,0.02,-0.51,0.08,0.12,0.00,0.01,0.43,0.94,,
N20000005,676,0.57,0.16,0.11,0.07,0.02,-0.53,0.75,0.06,0.00,0.02,0.45,1.58,,
N20000006,464,0.39,0.11,0.07,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.30,0.64,,
N20000007,880,0.73,0.21,0.13,0.09,0.02,-0.68,0.05,0.06,0.00,0.02,0.57,1.22,,
N20000008,642,0.54,0.15,0.12,0.07,0.02,-0.50,0.09,0.05,0.00,0.02,0.42,0.93,,
N20000009,401,0.33,0.04,0.07,0.04,0.01,-0.31,0.03,0.03,0.00,0.01,0.26,0.54,,
N20000010,544,0.45,0.13,0.08,0.06,0.01,-0.42,0.36,0.03,0.00,0.01,0.35,1.00,,
N20000011,525,0.44,0.06,0.09,0.06,0.01,-0.41,0.10,0.09,0.00,0.01,0.34,0.81,,
N20000012,503,0.42,0.05,0.09,0.05,0.01,-0.39,0.07,0.09,0.00,0.01,0.33,0.77,,
N20000013,407,0.34,0.05,0.07,0.04,0.01,-0.32,0.10,0.06,0.00,0.01,0.27,0.61,,
N20000014,506,0.43,0.06,0.08,0.05,0.01,-0.40,0.12,0.09,0.00,0.01,0.33,0.80,,
N20000015,586,0.50,0.14,0.09,0.06,0.01,-0.46,0.19,0.10,0.00,0.01,0.39,0.98,,
N20000016,453,0.38,0.05,0.08,0.05,0.01,-0.35,0.50,0.09,0.00,0.01,0.29,1.11,,
N20000017,674,0.56,0.06,0.13,0.07,0.02,-0.52,0.07,0.13,0.00,0.01,0.44,0.98,,
N20000018,486,0.41,0.08,0.09,0.05,0.01,-0.38,0.08,0.03,0.00,0.01,0.32,0.78,,
N20000019,393,0.33,0.05,0.08,0.04,0.01,-0.30,0.14,0.03,0.00,0.01,0.26,0.69,,
